"title","story","category","location"
"The Elemental of Forest","It was only about a year ago in late September, early October that an acquaintance and soon to be good friend of mine began talking about the band shirt I was wearing that day. We conversed through class and carried our conversation on outside. Right as we were about to depart my friend brought up what would seem like a strange topic, and to anyone that is not familiar with the paranormal it would indeed seem strange.

He mentioned the woods behind his house and the strange happenings at and around them. He mentioned noises sounding like an elephant's trumpet, screeches like those of freight train, odd feelings like one is being watched, orbs, shadows, and much more. It sounded much too good to be true so I, not knowing my new friend that much yet, asked if he drank excessively or did drugs. He told me he did not drink and has never done drugs in his life. Upon further investigating of the site and getting to know him a little better, both his assertions of his haunted woods and his drug and drink free lifestyle were indeed true. But with the haunted woods I got a little bit more than I could bargain for.

We set a day that we could stop by and investigate the woods further together, and on that day I still was apprehensive of all of what he had told me was going on. When I arrived the house was a small two story, kind of seemed old like from maybe back in the 50's with shutters and a painted a faded blue against the aging vinyl siding. The front yard had all sorts of Halloween decor with the obligatory Jack-O-Lantern, black cats, and stereotypical witches. It seemed sorta quaint in an eerie sort of way. One could barely see the woods behind the house, except for one GIGANTIC oak tree, the likes of which would dwarf any house short of a mansion.

I entered the house and we goofed off until darkness set in. I went downstairs for a drink and a smoke and was informed the fridge with the drinks was in the garage, which was convenient enough for me because the side door was strategically place next to the fridge. I grabbed my drink and stepped outside into a small chain linked area surrounding the side door. The chain linked area was small maybe 5x5 area and was contained in his already fenced yard. I believe it was something the previous owners installed to deter thieves. Regardless, I was standing in the middle and proceeded to light up. I took a few drags of the cigarette and out of no where I heard a tap-tap on the vinyl siding coming from around the corner towards the back of the house. I dismissed this as nothing but the wind or even his dogs even though the tapping seemed to come from about my height, 6 foot 2 inches.

I continued smoking, but then heard another tap-tap this time a little closer to the edge of the house. Again dismissed this as the wind or animal. I then heard another tap-tap this time closer to the edge of the house. I stopped smoking now and my eyes fixed on that corner. I then heard a SLAP-SLAP coming from RIGHT around the corner. I immediately ran in to see where everyone was to possibly catch my friend trying to play up his stories he had told earlier, only to find him sitting down upstairs on his computer. I told him the story and he explained to me of the spirit that wanders into his yard and plays tricks like that. Now, with this fresh in my mind, I had to know what else was out there.

We went outside and around his house to his back woods as we got closer and closer to the forest's edge there was just a feeling of something staring back at you from the woods and there was a strange force, akin to ""this is a bad idea"" feeling, that surrounded the perimeter of the forest. I dared not go any further into the woods and I expressed my concern to my friend where he proceeded to say we would definitely not go into the woods that it was dangerous at night (a story for another time if this one meets a good reception). We both simply walked the perimeter and suddenly something caught my mind's eye. I felt an odd sort of energy emanating from one of the trees. I told him something is different about that tree, he told me that is where he saw the little dead girl he told me about in his stories. Another odd happening, but easily rationalized away, just like earlier with the tapping. I looked away from the tree and focused down our path where I noticed a pile of wood sitting at the end of the road past a fence. I got a very odd feeling from that area when I stared at it like someone was standing there looking back as I stared into an inanimate pile of wood. This time, I kept my feeling to myself.

We ventured around further and came across a field with a low fog and he explained to me how he believes the fog is how the forest breathes. Coming from my Druid background I agreed whole-heartedly. He warned though that when the forest breathes it can also be a warning to stay away and he has noticed activity increases when there is a fog present (On a side-note the fog seems to retreat if you stare at it too long, I swear it is the weirdest thing like the forest is self-conscious).

After a chat about the fog he told me the tale of Elemental that rose from the ground and chased him and his friend back across the field. He also told of the immense speed this ""shadow"" possessed, it literally cleared a football field in a matter of seconds by zig-zagging back and forth and running on knuckles in his story. This could be an exaggeration but the detail it was told with gives me a different impression. Either way I was about to find out what he meant.

We came to the other side of the field, not by cutting across like he did in his story but coming in from the other side. There was an ominous street light adjacent to a dirt road that lead back and followed the edge of the field. As soon as we approached the dirt road the street light went out. He told me that this light has a short and is known to do this frequently. I agreed with the rationalization and we continued down the path. The farther we pushed in the more I felt the air getting dense and heavy. Then all of the sudden I froze. I believe I hit the second barrier, the first I passed by when we entered the road that ""this isn't a good idea"" feeling barrier I spoke of before. The second barrier felt like an actual wall for me. I couldn't move. I called my friend over and told him I will not move another INCH. He agreed to head back out with me. We reached the entrance again and as soon as we neared the light went out... again.

The light came back on after a few seconds, I was facing the light with my back to the entrance while my friend stood in front of me while he talked about miscellaneous stuff and I smoked. When from behind me I heard a loud POP. The only way I can describe it is either like a small item falling from a VERY large distance like the top of a tree and slamming into a bunch of twigs or a large branch snapping. I figured it was the first and asked ""What kind of trees are these?"" thinking they were pine. He replied ""Magnolia..."" I slowly stuttered ""...Magnolia's don't flower in October do they?"" and just then my friend's eyes darted up. He looked at me with the most serious expression I have ever seen. He said ""We have to leave, now..."" I was now puzzled and frightened. What happened behind my back to scare him so badly? I wanted to know but he refused to tell me.

We slowly backed away from the entrance very calmly and we took a different route back to his house. On the way back, he told me what he saw. That branch snapping was the elemental kicking off to jump, and what he saw, and I wish I could have seen too, was the elemental jumping across the street from tree to tree to get a better view of us.

We arrived back at the house fine and I have told this story many times to people familiar with these things and I was given many different responses, but one response stood out among all of the others and it had to do with the history of the woods and previous events there that I was not present for. I am willing to share all of my stories I have of these woods that I have experienced and all of the stories that I know of the woods from my close friend. I will leave with this, that the night I was there only scratched the surface of what is out there...","Non Human Entities","United States"
"A Long, Paranormal Day","The storm roared outside. Branches and leaves were scattered all over my backyard. The house was cold and lonely, since my kids were at school and my husband was off at work. I sat at my kitchen table enjoying warm toast and coffee with my dog observing my toast carefully.

I was busy reading the newspaper when all of a sudden I hear heavy breathing on my left ear and feel cold breath on my shoulder. At that moment, my dog ran outside in the rain and started howling. Petrified, I froze. It lasted about 2 seconds and just stopped. My dog came scampering back in wet and cold so I went to go dry him off. I couldn't find an explanation for what had just happened. I shook it off and prepared for an important job interview that would be taking place later that day.

Afterwards, I was on my couch working on my laptop with my kitty asleep next to me. In the hallway, which connects to the living room, I heard loud, distinct footsteps walking towards the living room. I bravely peeked into the hallway to find nothing there. Shocked, I went back to my couch to find my cat hidden inside the fireplace with wide eyes staring into nowhere. Once again, I couldn't find an explanation for what had happened.

Finally, it was time to head to the city for my interview. I attempted to open the door to leave but it wouldn't budge. The doorknob just wouldn't let me turn it. Getting really angry, with all my might I forced the doorknob to turn. It wouldn't even move. I went to go get a hammer and basically attacked the doorknob. It didn't move whatsoever. Only a few dents but that's it. I screamed at whoever was doing this to stop right away and open the door immediately. I tried the door one more time and it opened easily. I was twenty minutes late for my interview.

I got back home around 5. My kids were home playing with our babysitter. I was exhausted. I collapsed onto my couch and had a really weird dream. I dreamt that I was swimming in a fountain with my friend. Millions of black koi fish were swirling at the edge of the fountain going in a circle. They were sucking me in and my friend was staring at me saying ""Don't let the Darkness take you! Fight back! The Darkness is trying to take you!"".

I woke up sweaty and shivering. It was exactly 6:13 pm. My cell phone was beeping. I checked it and it said: ""6 New Voicemail"". I checked the first one. The best way to describe the sound was as a static voice speaking in gibberish.

If anyone can give me explanations on anything that happened that day that would be great. Thanks for reading

Blessed be!","Haunted Places","United States"
"A Dying Language Saved Me","I'm happy with the response to my other stories, yet it must be said that it hasn't been all bad with me, some encounters have just been, well, miraculous. But before I go on, I'd like to thank all those who have left me comments. I will get back to you all shortly, probably through the site or via e mail. I do promise to respond though, just been busy.

This story I'm about to write is about how the irish language saved my life when I was 15. And I've never forgotten the kind words that saved me. You all know them to. But I'll tell the story first.

My friend paul and I had just finished a great game of football in the phoenix park, and now we were sitting down on his front lawn drinking gallons of water (it was a hot August) and resting our soon to be aching bones. I stretched myself out, flat on my back and looked towards the reddening sky. Or heavens now as I call it instead of sky. I held a smoke between my lips and took a very long pull on it. Without removing the cigarette from my lips, I blew the smoke out and watched it dance towards the heavens. Then I heard the oddest thing, Irish. Not the word, the language (You should know before I continue on that only one percent of Irish speak their own language on a regular basis)

Gabh mo leithscéal (GOVV muh LAH-shkayl), An bhfuil Gaelige agat? (on will Gwhale-ga agg-ut?) Excuse me, do you speak Irish?

Sea (Shah) Yes, I responded as I propped myself up on my elbows and looked down the length of my body towards an eldery man standing at the garden gate. Who the hell are you talking to? I'd forgotten Paul was even beside me. Normally I wouldn't have responded to a ghost so quickly without first looking about, to see who was around me. Yet on this occasion I had. It made sense later.

I turned to Paul and promised to explain it to him, later on, then turned back to my visitor and asked, Conas atá tú? (CONN-us a-TAW too?) How are you?

Táim go maith, go raibh maith agat. (TAW'm guh MOH, GUH REV MOH agg-UT) I'm fine, thank you.

Paul sat looking at me as if I had twenty heads, but I continued talking to this gent, not knowing why it was so improtant that I did so, just feeling that it was.

He took a step in towards me and said Cén t-ám é? (Cane Tahm a?) Le do thoil. (Leh duh Hull) What's the time please? I looked at my watch and was just about to give it to him when he was right in front of me and shouted Bí curamach! (BEE KOOR-muk!) Look out! Paused, then said Dia is Muire Duit (DEE-a iSS MIRR-a Gwit) May God and Mary be with you. This took me by surprise. Not the fact that he was screaming at me, but, his last sentence. This is actually a greeting. It's how you say hello to someone in Irish who has already said hello to you. It was also said with a slight warning tone. Then, as usual, he was gone. I sat there a while longer looking in the direction the old man had appeared. Then I just got up, went into Paul's house and ate my dinner. The visitor had left me slightly shaken, and also warm hearted. He was a pleasant if somewhat strange visitor. I did explain to Paul my gift, who shrugged it off with disinterest, but he believes me now, as a mate would, without conviction. Its easier for some people to continue believing the world is flat.

I left his house close to ten o clock that evening, and started my long journey home. His house was located on blackhorse avenue, some 40 minutes from my home in Cabra. As I was walking (I decided to go through the park and up onto my road through Dunnard estate) I heard something moving beside me. The park is full of foxes, deer, rabbits and badgers, so I thought nothing of it. Until I heard a clicking noise/sound coming from my left. I stopped in my tracks and turned to face this obtuse sound. It certainly did not belong with the other sounds of the park. What I saw I will take to the grave. It stood 4 feet tall, sloped over, so I would guess it would be taller, and had its arms dragging on the ground. It was just an outline of course, but so very real. I took a step back and heard a small, growl I guess, that's the only way to explain it, so I stopped again. I'm done for is all I thought. This thing wasn't letting me get anywhere without it's permission. And it didn't seem like it was going to give it.

When I looked back on it later on, there wasn't any other sounds around the two of us. Everything was silent. That's when I heard the words again, Dia is Muire Duit! I remembered the old man and his warning. But didn't know what he had meant. ""Oh God help me"" I spoke. The thing stepped back slightly. My mind was racing now. Don't think that I have ever been as clear headed in my whole life as I was in these few moments, but I started saying the Hail mary. It wasn't working. The creature started towards me. Moving over leaves and fallen branches. Its image becoming clearer (I would describe it but I'll leave you with this instead, Remember your worst nightmare and multiply it by 50, that's what this thing was starting to look like) I was panicking now. Every part of me wanted to run away, but I was held fast.

Then I closed my eyes (I was actually waiting for the worst to happen) and said the Ár nAthair (are en-ah-her) the Our Father, in Irish. When I opened my eyes, everything had changed. I was, alone. The space in front of me empty. Nothing around me. I started to think I'd imagined it until I heard Go H-anamhaith ar fad! (Guh hawn a whah aer fawd) Well done. It was the old mans voice. I couldn't see him, but the warmth was there. I went home and slept well. I've never forgotten that experience the same way I've never forgotten any of them, but that's a nice one with some heritage. I'm happy to know my own language and I thank God every time I visit his home for my savior ghost.","Psychic / Medium","Ireland"
"The Dark Figure at my Window","When I was a child (about 4 or 5 years old) I lived in very poor neighborhood in Texas. At that time we lived with our grandmother. The house was very old and made of adobe. Next to our house was a warehouse. My two older brothers and I shared some bunk beds. One of my older brothers slept on the top bunk and next to it was a window.

One night my brother awoke crying and screaming. He did not want to sleep on the top bunk. He was claiming that a monster was looking in the window. My mother had me sleep in that bed from then on.

One night I awoke to a dark figure wearing a fedora and a trench coat looking in the window. I could see the light from the warehouse next door right through this figure. I don't remember any eyes though. Sometimes I would wake up in middle of the night to see it pacing next to our house outside our window. I always thought it was a dream.

About twenty five years later my mother, brother and I were talking about that old house. I told my mother and brother about the ghost. I described the ghost to them and my mother had the look of fear on her face. My brother explained that he saw that same figure looking at him through that window and that is why he didn't want to sleep in that bed. My mother told us that she saw that figure in front of the house when she was walking home from work one night.","Haunted Places","United States"
"Big Black Man","My parents bought a house in Cavite. It has 4 bedrooms, 2 bathrooms (1 is located near the kitchen, 1 at the living room). It was my first week in that house and I enjoyed playing with my younger brother in my sister room. Her room is the biggest of all. It is located near the dining/kitchen.

One night, my Ate (eldest sister) told my mom if she could sleep with her because she feels sick. When my Kuya (eldest brother) heard about that, he asked us (my younger brother who is 6 y/o that time) if we want to sleep with him in my Ate's room. We will play video games. We were all excited that time. That night, we played until 9:30 p.m. At around 10 pm, my Kuya told us that we have to sleep already and we need to wake up early to attend a mass the next day.

At around midnight, I felt so cold, so I looked up for my blanket but I can't find it. I decided to turn on the light to see where it is but still I can't find it. When I looked up at the clock, it was already 1:45 a.m. I still feel so sleepy that's why I decided to sleep and share with my brother's blanket. When it's time for me to turn off the light, I saw a shadow passed in front of me. I thought it's just my imagination, but when I turned back to see who is it, I was so shocked on what I saw, it was a Big black man standing in front of me, around 6'5 tall, and few inches away from me. He was wearing all black things including a big black hat that looks like a cowboy's hat. I was so scared that time! I cried, and screamed and I jumped on the bed and waked up my Kuya. When my Kuya saw that man, he also screamed, louder than mine. We cover ourselves with his blanket and we pray while crying.

The next morning, we told our parents on what happened, at first, they didn't believe us, but when my Ate heard our stories, she also tell our parents that she also saw that man the night before we sleep in her room. She saw the man standing beside her bed.

After that, my parents decided to call a pastor to bless our house, and after the house blessing, the big black man didn't appear for 2 nights. We thought that he will not appear anymore, but were all wrong, it's just the beginning...

I'll share my other stories next time...","Haunted Places","Philippines"
"Orbs at the Gu Yi Ju Ancient caves","I am Australian, but I live in china. I go to school here. I have recently taken a trip to the Gu Yi Ju Ancient caves. These caves were the home for the banished emperor and his followers over 600 years ago. The government soon found out the hiding place and sent the royal guard to capture the emperor.

The soldiers finally caught up with them and massacred all of the emperors followers and soldiers, set fire to the camp and took the emperor back to Beijing.



We went to the village which is built into the mountain, only a few of these are open. I took about 40 pictures and 15 contained orbs. Most were following my Aunt, who was visiting. They seemed to be drawn to her. One was in the corner on the floor, like a baby would be. Another 3 were over a sacrificial table (for reasons not need explanation) and a very large one in the emperors house. Maybe a royal guard or the Mayor of the village.

These photos have been submitted to many web sites and most people believe that these picture are the real deal. I was freaked when I saw these pictures, because I was actually in the presence of a 600 year old person/spirit.

This is just an experience that I wanted to share to find out what others think.

thanks!","Photographs / Videos / EVP","China"
"Through the Eyes of a Little Girl","This is not a story of ghosts. It is one that led me to believe in a world beyond the one we see. I don't know if I have any special powers - maybe we all do, provided that something triggers them, or maybe, it was the helping hand of another that ""touched"" me in the hour of need, and if that's the case,then, I'm forever grateful!

My memory begins the day I was accompanying mum to the doctors to take the results of her routine check-up. I was 7 years old and anxious to visit my dad at his work-place afterwards. Since he was the manager of one of the biggest hotels in the city of Rhodes I would rarely lay eyes on him during summer (not that I saw much of him in winter, either, but things weren't so bad then).

We reached the doctor's office and the moment his secretary saw us, she hurried to inform him. Upon entering his office, I felt, despite my young age, a bit uneasy and even more so, when the doctor spoke to my mum in a low voice, constantly looking at me. I do still recall him saying something about a ""shadow"" and then, in a very solemn tone, ""I will be sending your tests and these (the x-rays) to Athens (the capital of Greece) right away..."" He, then, proceeded to tell my mum that she would have to get on the first plane there.

I looked up to see her face. I might have been too young to understand exactly what was going on at that time but not stupid to sense something was terribly wrong! Besides, the look on my mum's face confirmed my fears.

She had always been my loving mother, the one that made everything bad go away - the one who loved me no matter what and, don't ask me why or how, I felt someone was going to take her away from me.

We were out on the street again heading for dad. This was a silent and heavy walk as mum held my hand tightly. She avoided eye contact with me but I constantly searched for her eyes only to see the tears rolling down her face.

""Mum?""

""...""

""Mum, are you O.K?""

""Of course. What more can I ask from life when your hand is in mine?""

""Mum, are you going away?""

""I'm going to go for a few days, me and daddy but we'll be back...""

""When?""

""Soon, I promise..."" A brief pause then follows before she speaks again.

""Have I ever told you about a mother's love? It's the greatest, strongest and most everlasting love of all others! In fact, it's so strong that nothing can ever take it away. And even if, for some reason, a mother has to go away to another place where she cannot take her child with her, her love is still so strong that, even if she's up there with the stars, she can still see her child and protect it and speak to it and help it through difficult times...""

I couldn't understand why it might be my mother that has to go, leaving me alone. I was told that God, my God, was a kind and caring one who protected all of his creation. I knew he protected my mum when she was pregnant with me, when all others doubted she will come out of it alive. My God was the same God who saved both of us during labour and that was because my mum hadn't stopped praying to him. I was not meant to be born the doctors said but He let mum have me because she asked him.

I held her hand tighter now and tried to remain calm not wanting to make it harder on her. Yes, I was young but I could understand more than she thought and ever more than I was willing to reveal.

I remember mum into dad's office talking, guests coming and going, the soft music at the lobby, dad bending over the office desk and my mum taking his hand in hers. The world just kept going but for me that was the end of innocence and naivety.

Night came only to take my mum and dad to a place I couldn't be. I was left with grandma and grandpa. When everyone was asleep I ran to my parents' bedroom and reached out for an icon that hang over the head of their bed. Quietly, I ran back to bed and slipped under the cover, holding Madonna and her Infant close to my chest.

It was morning again and, despite grandma's persistence to get me out of bed, I remained there refusing to eat or speak. She finally gave up every effort and returned to her morning routine.

I distinctly remember myself being awake when, all of a sudden, the early morning sounds from the street blended with those of another louder one, and flashes of images of an unknown world let me into another reality-not my own.

I was walking between my parents but they were not holding my hands as always. I was literally running to keep up with them as we entered a big cold building with a tall ceiling and narrow corridors. We turn left and come to a stop outside the middle one of three doors in a row. Mum hesitates and then, refuses to enter. Instead, she sits on one of the chairs outside that door.

""You go in. He has already seen my tests by now. I can't do this"" I hear my mother saying and dad responding, ""Ok, I will go in first...""

I then lose sight of my mum as I follow my father into the office. An elderly man stands up to shake my dad's hand and before my dad says anything more than ""We have come from Rhodes..."" the man tells my father that he needs to say no more.

""My colleagues and I have reviewed your wife's test results and her x-rays and I'm here to say that there's absolutely nothing wrong with your wife. She's absolutely healthy so what you need to do is take her back to Rhodes and have a happy life...""

That is when every sound came to a halt and I found myself back in bed and to my Rhodian reality.

Grandma was once again over my bed looking rather worried now..."" Is everything alright? Let me check your temperature"" and at this, an overflow of words escaped from my mouth telling her the story.

She heard, silent and silent she remained as she caressed my head.

Later that day we heard the key turning on our front door and my parents happily entering the house. I jumped up from bed and ran to greet them followed by my grandparents.

""What are you doing back so soon? We thought you'd still be in Athens"" grandma said to hear that they had no further reason to stay away.

""... And as we entered this huge building, we turned to a corridor on the right where we came outside these doors. I told Michael I didn't want to go in...""

Years later and as soon as the ultra-sound was used by doctors we discovered that my mum's womb had a small lump on one side which was purely genetic. Probably that was what alarmed the first doctor who sent her off to Athens urgently.

Tammy.","Psychic / Medium","GR"
"Seeing What No One Else Admitted to Seeing","While growing up we moved around a lot, mostly in New Jersey. During that time many things happened in my life that no one else in my family admitted to seeing or hearing. Like at night while in bed, I would wake up and notice that the curtains from the window were moving back toward the window. They had been off their rod again so to speak, but they always took the rod with them on their walks. As I watched they would move back and forth toward me and toward the window. It scared the crap out of me. In the same house I would hear the liquor bottles on the cabinet downstairs clink together when no one else heard them. They clinked all the time.

Later, we moved to Delaware - Harrington. In a house there, the game was on from day one. My sister and I saw the house for the first time when we unloaded boxes from the truck. Then our family left her and I there to unpack while they got another load. As soon as I walked into the house a voice not of this earth called my sister. She has an unusual name so it scared me that he knew it. She never heard it but I did. Once while sick with a migraine a wispy boy stood at the end of my bed as if checking on me. I was not afraid of him. Just startled by his appearance. These are just a few of my experiences. Maybe some day I will tell you about the porcelain clown doll that bites.","Psychic / Medium","United States"
"The Alpine","This isn't a super scary story, just kind of unusual. About two years ago, when I was pregnant with my daughter, we decided to spend a weekend on the Wisconsin peninsula in Door County. As a child, my husband went to stay at a hotel called the Alpine right on the bay. When we got there I thought it looked like it could have been the motel from The Shining. We went in our room and it was really outdated, but in a charming kind of way.

The 13 inch tv even had a knob you had to turn without a remote - and NO CABLE! The first evening we were there, the false ceiling tiles started bouncing around. We joked that the place might be haunted, it sure looked like it should be! We explained it away to air pressure or vents. The next part though, I still can't explain. I've always been an early riser, so whenever I stay at hotels it's really hard because I'm up about 3 hours before the normal person on vacation. I was laying there at around 5:30 when I heard a door open. I looked up, though it sounded like it was outside of our room. In the round mirror of the waterfall dresser facing our bed, I could see a door open with a light on the other side of it. Well, the mirror is basically facing me, but above the bed a little bit. I looked above myself at the wall, and around the room for that matter, and there's obviously not a door or any light source that it could have originated from. The light in the doorway of the mirror opened and shut a couple of times and then after about 30 seconds it was gone. I could hear it opening and shutting, but like I said, it sounded like it was outside the room. It didn't scare me, I just thought it was really neat and couldn't explain it.","Misc","United States"
"Unfinished Business","Hi guys! I've been reading this web site for weeks already and found it really interesting. I had always been curious about the paranormal, so I wanted to share some of my ghost stories as well.

One night, there were some men who were in the house repairing something in the backyard. One of the men decided to overtime and went home around 11pm. All of us were already asleep at that time. He suddenly heard someone, like calling his attention. ""Psssssssst"". He thought that someone was just mocking him. But as he tried to ignore the sound, it went louder and louder and it called him 3 times. He felt scared and decided to call it a night.

So as he got his bags and walked to the gate, he came across a lady. (A beautiful lady, he commented). He greeted the lady with a smile and a good evening. The lady smiled back and according to him, went straight to my room. He thought that it was just another family member who he hadn't met.

The next day, he was asking my grandmother who the lady was. He then saw a picture at the living room and told my grandmother that that was the lady he saw. As puzzled and as shocked as she was, my grandmother said that it was her daughter (my mother), and that she had passed away for 16 years now.

I was just wondering, why was there an apparition? Does she still have an unfinished business? That kept us thinking until now.","Family / Friends Visits","Philippines"
"Something in my House","I live in Camby, Indiana, in one of the Heartland Crossing additions. I have been made aware just recently of another couple that is experiencing things in their home as well. I would really like to talk with you in detail and compare some things. My story starts from three years ago.

We move into our first home on May 8, 2004. The first night that my husband and I stayed home I experienced something that rocked my spirit, I was in the master bathroom taking a bath and my husband was showering in the other upstairs bathroom. As I was relaxing something felt very weird. When I opened my eyes there was a face in the mirror looking directly at me. I looked then closed my eyes not believing what I saw. I opened my eyes to see the face starring back at me. I sat up in the tub and prayed. I called out to my God for peace in my home. When I opened my eyes the face was gone.

Shortly thereafter my now three year old son started seeing a man named ""Mikey"". This was about the time that my grandmother moved in with us. He was afraid to go upstairs because ""Mikey"" would be mean to him. Nothing that I knew of had happened since ""Mikey"" came into the picture until my husband started talking. My husband told my on 11/22/07 that he has seen a dark figure in the doorway of the master bedroom one night as we were in the bed. He happened to turn over and look at the door and there it was. It had no feet but clearly a form. My husband said that he sat up and wiped his eyes and he said that when he opened his eyes to focus it was gone.

Then a week after he said that one night that I was working late he had dosed off but awakened to someone tapping him. He said he thought it was one of our boys so he just said come on man get in the bed. My husband said that it was about two minutes later when he felt this tapping again. This time he opened his eyes and noticed both of our boys were in the bed with him, so he turned over to see who was tapping him and there was no one there.

On December 28, 2007 my oldest son and myself were in my bed. I was asleep and he was watching NICK@NIGHT when I was awakened by my son screaming at the top of his lungs and trying to get underneath me. This alarmed me and I jumped up screaming what's wrong. He was shaking and crying saying I saw a man. I saw a man. I asked him what he looked like and my son said that he could only see his white hair and that his arms were open wide. (As to welcome a hug or something). I prayed out loud and held my son until he fell asleep.

I told my husband about this and once again he tells me of other things that happened on New Years Eve. Once again my husband and my three year old were in our bed. My husband dosed off and he was awakened by our son tapping him and pointing to the rocking chair in my room near the window. My son said ""Daddy who is that man?"" my husband says ""What Man?"" My son says ""That man right there, sitting right there..."" My husband said ""what is that man doing?"" My husband said that my son gestured that the man was smiling and shaking is head at him. My husband told me that he told my three year old not to pay attention to him and he will go away. On 1/5/08 around that time my Grandmother had mentioned to my husband that we need to get that evil spirit out of our house. She also said that she doesn't sleep very well.

As for myself I I am very sensitive to my surroundings. I feel things when they come around me and I feel things when they are watching me. I close my bathroom door every night before I go to sleep because I get a vibe that is disturbing when I don't. My bathroom and closet is always cold. I have experienced flashing lights at night that give off a green glow almost. I have heard as well as my husband and older son walking into the attic. At first we thought that the house was just settling and paid it no attention until we started moving our bed around to escape the noise and each time the noise would seem as though it is right above the new area we moved our bed.

Just recently on 1/22/08 I was sleeping on the couch and I had my head covered with the cover when I felt something tap me on the side. Immediately I got up and went to bed with my husband. Later that morning I wasn't quite asleep I was just waking up for work and heard a man's voice say ""Taushia"" I sat straight up and looked at my husband, he was still asleep as well as everyone else. Funny thing is our oldest (daughter) has never experienced anything or she has not spoken about it yet. I have asked for help with this matter and help is on the way.","Haunted Places","United States"
"Ouija Board in the Basement","This took place in the middle part of Michigan. The house was a large house with a Hugh basement. In the basement was three rooms, however one was made into two rooms. There were two windows in this basement none that could be open, just for light to be able to get through... Near the stairway was the room that was divided, half was the laundry room the other half was storage where glass beer bottles and soda bottles sat in cases to be used at a later date. Other things was in that room just storage area.

The room that Jill and I and the other girls went to was in the center of the basement no windows near us, just a big room that was used for exercise equipment. If we walked far enough into the large room we came to a smaller room where there was one window. The other window was in the laundry room.

I was babysitting for this young lady Jill she was around 10, I was nearly 18... Jill told me that her and her friends would go into the basement and play this really neat game with this board that was suppose to spell out the answer to questions. I asked her does it really work? She said if no one cheats it does. I said wow maybe I would like to play it sometime.

So she called up Carol asked her if she could spend the night and her mom could bring her over. Pretty soon here came Carol ready for the night. Now I am watching two girls about the same ages. So the three of us went into the basement with the ouija board. We sat down lit a candle and Jill told me to put my fingers only on the little piece that would spell words. Soon as I did that the candle went out and we could feel wind in there but, where it came from we didn't know.

We had to lite the candle about six times before it stayed lit.(should of known something wrong then but...) So we went and played the game. Well nothing happen but us telling each other we were cheating moving the piece around to spell out the answers. Finally I said you two can play not me and I went up the stairs. Soon they did too.

Several days went by I went back to babysit and we called Carol up and played the ouija board several more times till, we got into the discussion someone was cheating and gave up. The third time we thought it would be nice if Tammy came over, after all she just lost her baby brother from a car accident he was 3. She came over and we thought we ask the ouija board if her baby brother made it to the other side okay.(we should not of done that)

By the time we sat in a circle with the candle lit and Jill asked more friends over, there was about six of us then. The candle we could not keep lit. The wind we could feel in the room but didn't know where it came from. Then while my fingers are on that little piece we asked"" Is Tammies brother on the other side now?""

We heard something hitting the wall in the other dark room from us. It did that for several times. We should of been frighten then, but kids will be kids I guess. Tammy asked ""can you give me a sign my brother is on the other side?"" Again we heard noises from the other dark room and our candle went out making it totally black in the two rooms. I seen lights bouncing off the walls and no matter how much we tried to light the candle we couldn't. Something kept us from doing so.

Jill asked the board ""Who or what was making the lights bounce around the room?. Then we heard the glass bottles being slammed against the wall in the spare room behind us. That is when we got frighten. We could not see the stair way in the dark and were scared and more bottles being smashed up against the cement walls. But not in the storage room they are in the room we are in. Tammy said she could hear her brothers voice, I nor anyone else could hear it however.

Then I said ""something just flew past my face"" kind of felt like a spider web being dropped down on me or a net of some kind. I am fighting to try and get out of it seems to capture me into its grip. We can't see it's so dark. One of the gals screamed they got hit by the bottle, and we could hear it being smashed to the floor. We're all screaming now ""stop, stop this"". It kept going on, the lights bouncing around, the bottles being broken, sounds coming from the other dark room sounded like moaning to me. The girls are crying and screaming and I am with them there. We had to find the stairway in the dark and yet I didn't want to let the girls be away from me.

So we held hands and I told them DON'T LET GO OF ANYONE TILL WE FIND THE STAIRWAY. We finally found it by touching the walls around us. Odd however as being in the dark, scary basement of the house sometimes the walls felt like on fire other times just plain really cold like a freezer. We made it up the stairs okay and into the other part of the house far from the stairway that went down the stairs. Up stairs all seemed just fine. The lights were on, the music from the radio still on nothing out of place at all.

When we got up the stairs, Tammy had a cut on her arm I guess from flying glass from the bottles being broken. But Carol was the one that I couldn't believe. Her clothes were like shredded, it look like someone took scissors and just cut them up. Yet she said she didn't feel anything on her.

When Jill's mom came home she asked what happen we told her. She didn't believe us and was upset. She told us then we have to go down in the basement to clean the mess up. We told her we would but she was going too. We got down the stairs and there was broken bottles every where and some sticky stuff on the walls. Jill was the only one that nothing happen to, nor did she feel anything touch her. All she seen was the lights bouncing around the room.

I went to Jill's moms house a lot and when she ask me to go in the basement to get something I was scared but did as she asked, I always felt something was down there watching me. Then my friend told me for a long time she has felt that too, and usually don't do her laundry until someone is home and in the basement too. I often would stay the night at this house and I was to afraid to get up in the middle of the night to go to the bathroom, always felt that something was there watching me.

My friend moved from that home long ago and I wonder if anyone else who has ever lived there ever experience anything odd about it. But now that the ouija board was taken out and burnt by her mom, maybe what ever came out of it was burnt in hell. Anyone wanting to play with ouija boards all I can say is ""danger is just waiting to happen"".","Ouija Board / Seances","United States"
